epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,217.775,1.48032,1.37368,0.00582,0.7541,0.68066,0.75888,0.56202,1.11368,1.15823,0.00754,0.000666153,0.000666153,0.000666153
2,415.31,1.42649,1.25293,0.00547,0.72504,0.65764,0.73086,0.53581,1.11105,1.23394,0.00763,0.0011129,0.0011129,0.0011129
3,607.45,1.4126,1.23197,0.00534,0.72024,0.66439,0.7307,0.53793,1.09374,1.23263,0.00743,0.00133966,0.00133966,0.00133966
4,806.213,1.38649,1.2057,0.00534,0.72325,0.6697,0.74057,0.55032,1.09667,1.19023,0.00759,0.00101,0.00101,0.00101
