epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,219.36,1.43567,1.28252,0.00555,0.76174,0.67987,0.76223,0.5663,1.10238,1.14694,0.00757,0.000666153,0.000666153,0.000666153
2,423.257,1.39666,1.21237,0.00529,0.75909,0.69463,0.77126,0.57519,1.08524,1.11918,0.00745,0.0011129,0.0011129,0.0011129
3,620.06,1.37716,1.19992,0.00515,0.73967,0.68738,0.76108,0.57212,1.05694,1.15782,0.00725,0.00133966,0.00133966,0.00133966
4,810.331,1.34946,1.17168,0.00515,0.75868,0.69387,0.77016,0.58385,1.05389,1.1437,0.0071,0.00101,0.00101,0.00101
5,1001.33,1.34348,1.1597,0.00505,0.7576,0.68754,0.7653,0.57807,1.0565,1.16268,0.00716,0.00068,0.00068,0.00068
6,1190.95,1.33753,1.15674,0.00501,0.754,0.70076,0.77116,0.58731,1.0464,1.13937,0.00707,0.00035,0.00035,0.00035
