epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,214.694,1.50796,1.43111,0.00598,0.66341,0.61969,0.6664,0.46819,1.19923,1.36131,0.00836,0.000666153,0.000666153,0.000666153
2,418.778,1.49278,1.35775,0.00586,0.69362,0.6604,0.71614,0.51292,1.16736,1.264,0.00789,0.0011129,0.0011129,0.0011129
3,616.304,1.47182,1.32371,0.00569,0.68585,0.64903,0.70103,0.49969,1.15261,1.30639,0.00782,0.00133966,0.00133966,0.00133966
4,807.959,1.44762,1.29877,0.0057,0.69816,0.65172,0.71433,0.50937,1.16852,1.28123,0.00799,0.00101,0.00101,0.00101
5,999.961,1.44796,1.28917,0.00565,0.69755,0.64483,0.70975,0.50516,1.15855,1.29481,0.00793,0.00068,0.00068,0.00068
