epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,219.547,1.48466,1.37469,0.00586,0.72745,0.64314,0.72002,0.5036,1.20639,1.28629,0.00825,0.000666153,0.000666153,0.000666153
2,410.713,1.46427,1.31261,0.00571,0.66033,0.59217,0.65699,0.46032,1.23589,1.37155,0.00833,0.0011129,0.0011129,0.0011129
3,609.653,1.4578,1.29389,0.00562,0.73538,0.65682,0.74135,0.53467,1.15386,1.22407,0.00785,0.00133966,0.00133966,0.00133966
4,809.447,1.43569,1.27624,0.00564,0.73135,0.65785,0.73409,0.52108,1.15793,1.24376,0.00796,0.00101,0.00101,0.00101
5,1002.22,1.43409,1.26485,0.00555,0.73869,0.63929,0.72491,0.52459,1.15507,1.25726,0.00797,0.00068,0.00068,0.00068
6,1195.13,1.43237,1.26497,0.00554,0.73295,0.66577,0.74342,0.53991,1.12125,1.23927,0.0077,0.00035,0.00035,0.00035
