epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,634.844,1.45936,1.29021,0.00581,0.67337,0.63422,0.68225,0.46772,1.2713,1.39245,0.01069,0.000666153,0.000666153,0.000666153
2,1246.65,1.46753,1.29978,0.0058,0.67067,0.6409,0.6906,0.4811,1.21161,1.35696,0.00955,0.0011129,0.0011129,0.0011129
3,1873.81,1.46794,1.30514,0.00572,0.66718,0.65537,0.69578,0.48559,1.19305,1.34381,0.00893,0.00133966,0.00133966,0.00133966
4,2442.98,1.45077,1.29552,0.00572,0.66587,0.65523,0.69906,0.48521,1.20433,1.33827,0.00925,0.00101,0.00101,0.00101
5,2759.75,1.45245,1.28958,0.00562,0.68353,0.65874,0.71249,0.49546,1.19425,1.28032,0.00908,0.00068,0.00068,0.00068
6,3133.13,1.44998,1.294,0.00558,0.68162,0.66109,0.71373,0.49826,1.1855,1.28161,0.00889,0.00035,0.00035,0.00035
