epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,712.383,1.42936,1.30881,0.00551,0.76216,0.66839,0.76216,0.56376,1.06296,1.16569,0.00706,0.000666153,0.000666153,0.000666153
2,1330.1,1.3638,1.19532,0.00512,0.76093,0.7122,0.78174,0.5786,1.05145,1.14102,0.0069,0.0011129,0.0011129,0.0011129
3,1966.5,1.34703,1.17424,0.00496,0.75921,0.71608,0.78332,0.58203,1.05681,1.0944,0.00703,0.00133966,0.00133966,0.00133966
4,2491.04,1.30407,1.14305,0.00488,0.74452,0.73162,0.78778,0.58311,1.05285,1.13471,0.00701,0.00101,0.00101,0.00101
5,2785.47,1.29745,1.11854,0.00479,0.73906,0.73383,0.78733,0.58263,1.04852,1.09259,0.00692,0.00068,0.00068,0.00068
6,3414.78,1.28788,1.11436,0.00474,0.75466,0.72474,0.79404,0.5938,1.03178,1.10978,0.00691,0.00035,0.00035,0.00035
