epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,217.503,1.41754,1.25561,0.00547,0.74631,0.69429,0.76568,0.5684,1.08792,1.1608,0.00728,0.000666153,0.000666153,0.000666153
2,445.318,1.34816,1.16548,0.00504,0.75276,0.67197,0.75638,0.58028,1.04315,1.13641,0.00701,0.0011129,0.0011129,0.0011129
3,675.195,1.32554,1.13557,0.00488,0.77679,0.69617,0.78525,0.60418,1.0272,1.07756,0.00679,0.00133966,0.00133966,0.00133966
4,888.147,1.29201,1.1019,0.00483,0.76867,0.67831,0.77456,0.59377,1.0416,1.13139,0.00697,0.00101,0.00101,0.00101
5,1103.88,1.2804,1.08464,0.00472,0.77434,0.70462,0.78766,0.60947,1.00851,1.08476,0.00684,0.00068,0.00068,0.00068
6,1315.07,1.27281,1.07849,0.00466,0.79774,0.70469,0.80174,0.62958,0.98143,1.06579,0.00646,0.00035,0.00035,0.00035
