layer,subpath,op_type,medianMs,name80
model.16,m,conv+SiLU fused,0.011296,/model.16/m.0/m/m.0/cv2/conv/Conv + PWN(PWN(PWN(/model.16/m.0/m/m.0/cv2/act/Sigm
model.16,cv2,conv+SiLU fused,0.011104,"/model.16/cv2/conv/Conv + PWN(PWN(/model.16/cv2/act/Sigmoid), PWN(/model.16/cv2/"
model.16,m,conv+SiLU fused,0.01104,/model.16/m.0/m/m.1/cv2/conv/Conv + PWN(PWN(PWN(/model.16/m.0/m/m.1/cv2/act/Sigm
model.16,m,conv+SiLU fused,0.010848,/model.16/m.0/m/m.0/cv1/conv/Conv + PWN(PWN(/model.16/m.0/m/m.0/cv1/act/Sigmoid)
model.16,m,conv+SiLU fused,0.009504,"/model.16/m.0/cv3/conv/Conv + PWN(PWN(/model.16/m.0/cv3/act/Sigmoid), PWN(/model"
model.16,m,conv only,0.009344,/model.16/m.0/cv1/conv/Conv || /model.16/m.0/cv2/conv/Conv
model.16,Split_output_0,reformat/copy,0.00752,/model.16/Split_output_0 copy
model.16,Split_output_1,reformat/copy,0.007488,/model.16/Split_output_1 copy
model.16,m,reformat/copy,0.00672,/model.16/m.0/m/m.1/Add_output_0 copy
model.16,m,standalone SiLU,0.006144,"PWN(PWN(/model.16/m.0/cv1/act/Sigmoid), PWN(/model.16/m.0/cv1/act/Mul))"
model.16,m,standalone SiLU,0.00592,"PWN(PWN(/model.16/m.0/cv2/act/Sigmoid), PWN(/model.16/m.0/cv2/act/Mul))"
model.16,m,reformat/copy,0.0,Reformatting CopyNode for Output Tensor 0 to /model.16/m.0/cv1/conv/Conv || /mod
model.16,m,reformat/copy,0.0,Reformatting CopyNode for Output Tensor 0 to PWN(PWN(/model.16/m.0/cv1/act/Sigmo
model.16,m,reformat/copy,0.0,Reformatting CopyNode for Input Tensor 0 to /model.16/m.0/cv3/conv/Conv + PWN(PW
model.17,conv,conv+SiLU fused,0.012,"/model.17/conv/Conv + PWN(PWN(/model.17/act/Sigmoid), PWN(/model.17/act/Mul))"
model.19,m,conv+SiLU fused,0.011008,/model.19/m.0/m/m.0/cv1/conv/Conv + PWN(PWN(/model.19/m.0/m/m.0/cv1/act/Sigmoid)
model.19,m,conv+SiLU fused,0.011008,/model.19/m.0/m/m.1/cv1/conv/Conv + PWN(PWN(/model.19/m.0/m/m.1/cv1/act/Sigmoid)
model.19,m,conv only,0.010496,/model.19/m.0/m/m.0/cv2/conv/Conv
model.19,m,conv only,0.010496,/model.19/m.0/m/m.1/cv2/conv/Conv
model.19,cv1,conv+SiLU fused,0.010048,"/model.19/cv1/conv/Conv + PWN(PWN(/model.19/cv1/act/Sigmoid), PWN(/model.19/cv1/"
model.19,cv2,conv+SiLU fused,0.009664,"/model.19/cv2/conv/Conv + PWN(PWN(/model.19/cv2/act/Sigmoid), PWN(/model.19/cv2/"
model.19,m,conv+SiLU fused,0.008928,"/model.19/m.0/cv3/conv/Conv + PWN(PWN(/model.19/m.0/cv3/act/Sigmoid), PWN(/model"
model.19,m,conv only,0.007968,/model.19/m.0/cv1/conv/Conv || /model.19/m.0/cv2/conv/Conv
model.19,Split_output_0,reformat/copy,0.00688,/model.19/Split_output_0 copy
model.19,Split_output_1,reformat/copy,0.006688,/model.19/Split_output_1 copy
model.19,m,standalone SiLU,0.006176,"PWN(PWN(PWN(/model.19/m.0/m/m.1/cv2/act/Sigmoid), PWN(/model.19/m.0/m/m.1/cv2/ac"
model.19,m,standalone SiLU,0.00592,"PWN(PWN(/model.19/m.0/cv1/act/Sigmoid), PWN(/model.19/m.0/cv1/act/Mul))"
model.19,m,standalone SiLU,0.00592,"PWN(PWN(PWN(/model.19/m.0/m/m.0/cv2/act/Sigmoid), PWN(/model.19/m.0/m/m.0/cv2/ac"
model.19,m,standalone SiLU,0.00592,"PWN(PWN(/model.19/m.0/cv2/act/Sigmoid), PWN(/model.19/m.0/cv2/act/Mul))"
model.19,m,reformat/copy,0.0,Reformatting CopyNode for Output Tensor 0 to /model.19/m.0/cv1/conv/Conv || /mod
model.19,m,reformat/copy,0.0,Reformatting CopyNode for Input Tensor 0 to /model.19/m.0/m/m.0/cv1/conv/Conv + 
model.19,m,reformat/copy,0.0,Reformatting CopyNode for Input Tensor 0 to PWN(PWN(PWN(/model.19/m.0/m/m.0/cv2/
model.19,m,reformat/copy,0.0,Reformatting CopyNode for Input Tensor 0 to /model.19/m.0/m/m.1/cv1/conv/Conv + 
model.19,m,reformat/copy,0.0,Reformatting CopyNode for Input Tensor 0 to PWN(PWN(PWN(/model.19/m.0/m/m.1/cv2/
model.19,m,reformat/copy,0.0,Reformatting CopyNode for Input Tensor 0 to /model.19/m.0/cv3/conv/Conv + PWN(PW
model.2,m,conv+SiLU fused,0.014368,"/model.2/m.0/cv2/conv/Conv + PWN(PWN(PWN(/model.2/m.0/cv2/act/Sigmoid), PWN(/mod"
model.2,m,conv+SiLU fused,0.014208,"/model.2/m.0/cv1/conv/Conv + PWN(PWN(/model.2/m.0/cv1/act/Sigmoid), PWN(/model.2"
model.2,cv2,conv+SiLU fused,0.01312,"/model.2/cv2/conv/Conv + PWN(PWN(/model.2/cv2/act/Sigmoid), PWN(/model.2/cv2/act"
model.2,cv1,conv+SiLU fused,0.01216,"/model.2/cv1/conv/Conv + PWN(PWN(/model.2/cv1/act/Sigmoid), PWN(/model.2/cv1/act"
model.2,Split_1,resize/concat,0.009152,/model.2/Split_1
model.2,Split_output_0,reformat/copy,0.009088,/model.2/Split_output_0 copy
model.2,m,reformat/copy,0.009056,/model.2/m.0/Add_output_0 copy
model.2,Split_output_1,reformat/copy,0.009024,/model.2/Split_output_1 copy
model.2,cv1,reformat/copy,0.0,Reformatting CopyNode for Output Tensor 0 to /model.2/cv1/conv/Conv + PWN(PWN(/m
model.2,m,reformat/copy,0.0,Reformatting CopyNode for Input Tensor 0 to /model.2/m.0/cv1/conv/Conv + PWN(PWN
model.2,m,reformat/copy,0.0,Reformatting CopyNode for Input Tensor 1 to /model.2/m.0/cv2/conv/Conv + PWN(PWN
model.2,cv2,reformat/copy,0.0,Reformatting CopyNode for Input Tensor 0 to /model.2/cv2/conv/Conv + PWN(PWN(/mo
model.20,conv,conv+SiLU fused,0.012768,"/model.20/conv/Conv + PWN(PWN(/model.20/act/Sigmoid), PWN(/model.20/act/Mul))"
model.22,m,conv+SiLU fused,0.01248,/model.22/m.0/m.0.0/cv1/conv/Conv + PWN(PWN(/model.22/m.0/m.0.0/cv1/act/Sigmoid)
model.22,m,conv only,0.012192,/model.22/m.0/m.0.0/cv2/conv/Conv
model.22,cv1,conv+SiLU fused,0.010208,"/model.22/cv1/conv/Conv + PWN(PWN(/model.22/cv1/act/Sigmoid), PWN(/model.22/cv1/"
model.22,cv2,conv+SiLU fused,0.010016,"/model.22/cv2/conv/Conv + PWN(PWN(/model.22/cv2/act/Sigmoid), PWN(/model.22/cv2/"
model.22,m,conv+SiLU fused,0.009024,/model.22/m.0/m.0.1/ffn/ffn.0/conv/Conv + PWN(PWN(/model.22/m.0/m.0.1/ffn/ffn.0/
model.22,m,attention,0.008992,/model.22/m.0/m.0.1/attn/MatMul_1_myl170_4
model.22,m,conv only,0.008288,/model.22/m.0/m.0.1/attn/qkv/conv/Conv
model.22,m,conv only,0.008224,/model.22/m.0/m.0.1/ffn/ffn.1/conv/Conv + /model.22/m.0/m.0.1/Add_1
model.22,m,conv only,0.007968,/model.22/m.0/m.0.1/attn/proj/conv/Conv + /model.22/m.0/m.0.1/Add
model.22,m,attention,0.00768,/model.22/m.0/m.0.1/attn/MatMul_myl170_1
model.22,m,conv only,0.006656,/model.22/m.0/m.0.1/attn/pe/conv/Conv
model.22,Split_output_0,reformat/copy,0.006432,/model.22/Split_output_0 copy
model.22,m,reformat/copy,0.006432,/model.22/m.0/m.0.1/Add_1_output_0 copy
model.22,m,reformat/copy,0.0064,Reformatting CopyNode for Input Tensor 0 to /model.22/m.0/m.0.1/attn/proj/conv/C
model.22,m,standalone SiLU,0.006176,"PWN(PWN(PWN(/model.22/m.0/m.0.0/cv2/act/Sigmoid), PWN(/model.22/m.0/m.0.0/cv2/ac"
model.22,Split_output_1,reformat/copy,0.006176,/model.22/Split_output_1 copy
model.22,m,reformat/copy,0.00592,Reformatting CopyNode for Input Tensor 0 to /model.22/m.0/m.0.1/attn/Reshape
model.22,m,attention,0.005664,/model.22/m.0/m.0.1/attn/Split_44
model.22,m,attention,0.0,/model.22/m.0/m.0.1/attn/Reshape
model.22,m,attention,0.0,/model.22/m.0/m.0.1/attn/Reshape_2
model.23,one2one_cv2,conv+SiLU fused,0.016288,/model.23/one2one_cv2.2/one2one_cv2.2.0/conv/Conv + PWN(PWN(/model.23/one2one_cv
model.23,one2one_cv2,conv+SiLU fused,0.01248,/model.23/one2one_cv2.1/one2one_cv2.1.0/conv/Conv + PWN(PWN(/model.23/one2one_cv
model.23,one2one_cv2,conv+SiLU fused,0.011808,/model.23/one2one_cv2.0/one2one_cv2.0.0/conv/Conv + PWN(PWN(/model.23/one2one_cv
model.23,one2one_cv2,conv+SiLU fused,0.011008,/model.23/one2one_cv2.1/one2one_cv2.1.1/conv/Conv + PWN(PWN(/model.23/one2one_cv
model.23,one2one_cv2,conv+SiLU fused,0.010816,/model.23/one2one_cv2.0/one2one_cv2.0.1/conv/Conv + PWN(PWN(/model.23/one2one_cv
model.23,one2one_cv2,conv+SiLU fused,0.010752,/model.23/one2one_cv2.2/one2one_cv2.2.1/conv/Conv + PWN(PWN(/model.23/one2one_cv
model.23,one2one_cv3,conv+SiLU fused,0.01008,/model.23/one2one_cv3.0/one2one_cv3.0.0/one2one_cv3.0.0.1/conv/Conv + PWN(PWN(/m
model.23,one2one_cv3,conv+SiLU fused,0.009792,/model.23/one2one_cv3.0/one2one_cv3.0.1/one2one_cv3.0.1.1/conv/Conv + PWN(PWN(/m
model.23,one2one_cv3,conv+SiLU fused,0.009504,/model.23/one2one_cv3.2/one2one_cv3.2.0/one2one_cv3.2.0.1/conv/Conv + PWN(PWN(/m
model.23,one2one_cv3,conv+SiLU fused,0.009024,/model.23/one2one_cv3.1/one2one_cv3.1.0/one2one_cv3.1.0.1/conv/Conv + PWN(PWN(/m
model.23,one2one_cv3,conv+SiLU fused,0.008768,/model.23/one2one_cv3.2/one2one_cv3.2.1/one2one_cv3.2.1.1/conv/Conv + PWN(PWN(/m
