name,averageMs,medianMs,percentage,layer,subpath,has_conv,has_Q,has_SiLU,has_PWN,reformat,role,q_folded_into_conv,engine
"model.8.m.0.m.0.cv1.conv.weight + /model.8/m.0/m/m.0/cv1/conv/weight_quantizer/QuantizeLinear + /model.8/m.0/m/m.0/cv1/conv/Conv + PWN(/model.8/m.0/m/m.0/cv1/act/Sigmoid, /model.8/m.0/m/m.0/cv1/act/Mul)",0.0096494,0.009632,0.512935,model.8,m.0/m/m.0/cv1,True,True,True,True,False,"conv+SiLU (fused, Q folded in)",True,QAT
model.8.m.0.m.0.cv2.conv.weight + /model.8/m.0/m/m.0/cv2/conv/weight_quantizer/QuantizeLinear + /model.8/m.0/m/m.0/cv2/conv/Conv,0.00944244,0.00944,0.501934,model.8,m.0/m/m.0/cv2,True,True,False,False,False,conv-only,True,QAT
"PWN(PWN(/model.8/m.0/m/m.0/cv2/act/Sigmoid, /model.8/m.0/m/m.0/cv2/act/Mul), /model.8/m.0/m/m.0/Add)",0.00608199,0.00608,0.323302,model.8,m.0/m/m.0/cv2,False,False,True,True,False,standalone-SiLU,False,QAT
__myl_CastMulMinMaxRounCast_myl57_0,0.00570244,0.005664,0.303126,NMS/foreign,,False,True,False,False,False,pure Q/DQ (standalone),False,QAT
"model.8.m.0.m.1.cv1.conv.weight + /model.8/m.0/m/m.1/cv1/conv/weight_quantizer/QuantizeLinear + /model.8/m.0/m/m.1/cv1/conv/Conv + PWN(/model.8/m.0/m/m.1/cv1/act/Sigmoid, /model.8/m.0/m/m.1/cv1/act/Mul)",0.00942684,0.009408,0.501104,model.8,m.0/m/m.1/cv1,True,True,True,True,False,"conv+SiLU (fused, Q folded in)",True,QAT
model.8.m.0.m.1.cv2.conv.weight + /model.8/m.0/m/m.1/cv2/conv/weight_quantizer/QuantizeLinear + /model.8/m.0/m/m.1/cv2/conv/Conv,0.00905237,0.009024,0.481198,model.8,m.0/m/m.1/cv2,True,True,False,False,False,conv-only,True,QAT
"PWN(PWN(/model.8/m.0/m/m.1/cv2/act/Sigmoid, /model.8/m.0/m/m.1/cv2/act/Mul), /model.8/m.0/m/m.1/Add)",0.00642786,0.0064,0.341687,model.8,m.0/m/m.1/cv2,False,False,True,True,False,standalone-SiLU,False,QAT
"model.8.m.0.cv3.conv.weight + /model.8/m.0/cv3/conv/weight_quantizer/QuantizeLinear + /model.8/m.0/cv3/conv/Conv + PWN(/model.8/m.0/cv3/act/Sigmoid, /model.8/m.0/cv3/act/Mul)",0.00803829,0.008032,0.427293,model.8,m.0/cv3,True,True,True,True,False,"conv+SiLU (fused, Q folded in)",True,QAT
__myl_CastMulMinMaxRounCastReshTranResh_myl62_0,0.00603739,0.006016,0.320931,NMS/foreign,,False,True,False,False,False,pure Q/DQ (standalone),False,QAT
__myl_CastMulMinMaxRounCastResh_myl63_0,0.00562694,0.0056,0.299112,NMS/foreign,,False,True,False,False,False,pure Q/DQ (standalone),False,QAT
__myl_ReshTranResh_myl64_0,0.00585857,0.005824,0.311425,NMS/foreign,,False,False,False,False,False,other,False,QAT
model.8.cv2.conv.weight + /model.8/cv2/conv/weight_quantizer/QuantizeLinear + /model.8/cv2/conv/Conv,0.00854126,0.008512,0.45403,model.8,cv2,True,True,False,False,False,conv-only,True,QAT
"PWN(/model.8/cv2/act/Sigmoid, /model.8/cv2/act/Mul)",0.00638461,0.006336,0.339388,model.8,cv2,False,False,True,True,False,standalone-SiLU,False,QAT
__myl_MulMinMaxRounCast_myl67_0,0.00585168,0.005824,0.311059,NMS/foreign,,False,True,False,False,False,pure Q/DQ (standalone),False,QAT
model.9.cv1.conv.weight + /model.9/cv1/conv/weight_quantizer/QuantizeLinear + /model.9/cv1/conv/Conv,0.00820536,0.008192,0.436174,model.9,cv1,True,True,False,False,False,conv-only,True,QAT
/model.9/m/MaxPool,0.00947188,0.009408,0.503499,model.9,,False,False,False,False,False,other,False,QAT
/model.9/m_1/MaxPool,0.00939395,0.009376,0.499356,model.9,,False,False,False,False,False,other,False,QAT
/model.9/m_2/MaxPool,0.00942826,0.009408,0.50118,model.9,,False,False,False,False,False,other,False,QAT
/model.9/m/input_quantizer/QuantizeLinear_output_0 copy,0.00590272,0.005888,0.313772,model.9,,False,True,False,False,False,pure Q/DQ (standalone),False,QAT
__myl_Resh_myl73_0,0.00562594,0.0056,0.299059,NMS/foreign,,False,False,False,False,False,other,False,QAT
/model.9/m/input_quantizer_2/QuantizeLinear_output_0 copy,0.00587491,0.005856,0.312294,model.9,,False,True,False,False,False,pure Q/DQ (standalone),False,QAT
model.9.cv2.conv.weight + /model.9/cv2/conv/weight_quantizer/QuantizeLinear + /model.9/cv2/conv/Conv,0.00856624,0.008544,0.455358,model.9,cv2,True,True,False,False,False,conv-only,True,QAT
"PWN(PWN(/model.9/cv2/act/Sigmoid, /model.9/cv2/act/Mul), /model.9/Add)",0.00671578,0.006688,0.356992,model.9,cv2,False,False,True,True,False,standalone-SiLU,False,QAT
model.10.cv1.conv.weight + /model.10/cv1/conv/weight_quantizer/QuantizeLinear + /model.10/cv1/conv/Conv,0.00826514,0.008256,0.439352,model.10,cv1,True,True,False,False,False,conv-only,True,QAT
"PWN(/model.10/cv1/act/Sigmoid, /model.10/cv1/act/Mul)",0.00621804,0.006208,0.330534,model.10,cv1,False,False,True,True,False,standalone-SiLU,False,QAT
__myl_CastResh_myl79_0,0.00570515,0.005696,0.30327,NMS/foreign,,False,False,False,False,False,other,False,QAT
__myl_CastMulMinMaxRounCast_myl80_0,0.00565375,0.0056,0.300537,NMS/foreign,,False,True,False,False,False,pure Q/DQ (standalone),False,QAT
model.10.m.0.attn.qkv.conv.weight + /model.10/m/m.0/attn/qkv/conv/weight_quantizer/QuantizeLinear + /model.10/m/m.0/attn/qkv/conv/Conv,0.0104234,0.0104,0.554079,model.10,m/m.0/attn/qkv,True,True,False,False,False,attention,True,QAT
/model.10/m/m.0/attn/Reshape,0.0,0.0,0.0,model.10,,False,False,False,False,False,attention,False,QAT
__myl_Move_myl83_0,0.00578013,0.005792,0.307256,NMS/foreign,,False,False,False,False,False,other,False,QAT
__myl_MulMinMaxRounCast_myl84_0,0.0056415,0.0056,0.299886,NMS/foreign,,False,True,False,False,False,pure Q/DQ (standalone),False,QAT
/model.10/m/m.0/attn/Reshape_2,0.0,0.0,0.0,model.10,,False,False,False,False,False,attention,False,QAT
Reformatting CopyNode for Input Tensor 0 to model.10.m.0.attn.pe.conv.weight + /model.10/m/m.0/attn/pe/conv/weight_quantizer/QuantizeLinear + /model.10/m/m.0/attn/pe/conv/Conv,0.00693326,0.006912,0.368553,model.10,m/m.0/attn/pe,True,True,False,False,True,reformat,True,QAT
model.10.m.0.attn.pe.conv.weight + /model.10/m/m.0/attn/pe/conv/weight_quantizer/QuantizeLinear + /model.10/m/m.0/attn/pe/conv/Conv,0.0093229,0.009312,0.495579,model.10,m/m.0/attn/pe,True,True,False,False,False,attention,True,QAT
__myl_MoveSlicSlicTran_myl88_0,0.00593809,0.005888,0.315652,NMS/foreign,,False,False,False,False,False,other,False,QAT
/model.10/m/m.0/attn/MatMul_myl88_1,0.0102135,0.010176,0.54292,model.10,,False,False,False,False,False,attention,False,QAT
__myl_MaxrSubExpSum_myl88_2,0.00719553,0.007168,0.382494,NMS/foreign,,False,False,False,False,False,attention,False,QAT
__myl_DivMulTran_myl88_3,0.00770893,0.007712,0.409785,NMS/foreign,,False,False,False,False,False,other,False,QAT
/model.10/m/m.0/attn/MatMul_1_myl88_4,0.0111579,0.011136,0.593121,model.10,,False,False,False,False,False,attention,False,QAT
__myl_MulAddAdd_myl88_5,0.00599121,0.005952,0.318476,NMS/foreign,,False,False,False,False,False,other,False,QAT
__myl_MulMinMaxRounCastReshTran_myl89_0,0.00608081,0.006048,0.323239,NMS/foreign,,False,True,False,False,False,pure Q/DQ (standalone),False,QAT
model.10.m.0.attn.proj.conv.weight + /model.10/m/m.0/attn/proj/conv/weight_quantizer/QuantizeLinear + /model.10/m/m.0/attn/proj/conv/Conv + /model.10/m/m.0/Add,0.00814054,0.008128,0.432728,model.10,m/m.0/attn/proj,True,True,False,False,False,attention,True,QAT
__myl_CastMulMinMaxRounCast_myl91_0,0.00581382,0.005792,0.309046,NMS/foreign,,False,True,False,False,False,pure Q/DQ (standalone),False,QAT
"model.10.m.0.ffn.0.conv.weight + /model.10/m/m.0/ffn/ffn.0/conv/weight_quantizer/QuantizeLinear + /model.10/m/m.0/ffn/ffn.0/conv/Conv + PWN(/model.10/m/m.0/ffn/ffn.0/act/Sigmoid, /model.10/m/m.0/ffn/ffn.0/act/Mul)",0.00822335,0.008192,0.43713,model.10,m/m.0/ffn/ffn.0,True,True,True,True,False,"conv+SiLU (fused, Q folded in)",True,QAT
__myl_MulMinMaxRounCastReshTranReshTran_myl93_0,0.00618197,0.006176,0.328616,NMS/foreign,,False,True,False,False,False,pure Q/DQ (standalone),False,QAT
model.10.m.0.ffn.1.conv.weight + /model.10/m/m.0/ffn/ffn.1/conv/weight_quantizer/QuantizeLinear + /model.10/m/m.0/ffn/ffn.1/conv/Conv + /model.10/m/m.0/Add_1,0.00819134,0.008192,0.435429,model.10,m/m.0/ffn/ffn.1,True,True,False,False,False,conv-only,True,QAT
__myl_CastMulMinMaxRounCastResh_myl95_0,0.00581369,0.005792,0.30904,NMS/foreign,,False,True,False,False,False,pure Q/DQ (standalone),False,QAT
/model.10/Concat_/model.10/Split_output_0_clone_0 copy,0.00614911,0.006112,0.32687,model.10,Concat_/model.10,False,False,False,False,False,other,False,QAT
"model.10.cv2.conv.weight + /model.10/cv2/conv/weight_quantizer/QuantizeLinear + /model.10/cv2/conv/Conv + PWN(/model.10/cv2/act/Sigmoid, /model.10/cv2/act/Mul)",0.00849797,0.00848,0.451728,model.10,cv2,True,True,True,True,False,"conv+SiLU (fused, Q folded in)",True,QAT
