name,averageMs,medianMs,percentage,layer,subpath,has_conv,has_Q,has_SiLU,has_PWN,reformat,role,q_folded_into_conv,engine
__myl_CastMulMinMaxRounCastResh_myl145_0,0.00609995,0.00608,0.324256,NMS/foreign,,False,True,False,False,False,pure Q/DQ (standalone),False,QAT
/model.16/Concat_/model.16/Slice_output_0_clone_0 copy,0.00630412,0.006336,0.335109,model.16,,False,False,False,False,False,other,False,QAT
"model.16.cv2.conv.weight + /model.16/cv2/conv/weight_quantizer/QuantizeLinear + /model.16/cv2/conv/Conv + PWN(/model.16/cv2/act/Sigmoid, /model.16/cv2/act/Mul)",0.00904393,0.008992,0.48075,model.16,cv2,True,True,True,True,False,"conv+SiLU (fused, Q folded in)",True,QAT
"model.17.conv.weight + /model.17/conv/weight_quantizer/QuantizeLinear + /model.17/conv/Conv + PWN(/model.17/act/Sigmoid, /model.17/act/Mul)",0.0097542,0.009728,0.518506,model.17,conv,True,True,True,True,False,"conv+SiLU (fused, Q folded in)",True,QAT
__myl_CastMulMinMaxRounCastResh_myl149_0,0.0060957,0.00608,0.32403,NMS/foreign,,False,True,False,False,False,pure Q/DQ (standalone),False,QAT
model.19.cv1.conv.weight + /model.19/cv1/conv/weight_quantizer/QuantizeLinear + /model.19/cv1/conv/Conv,0.00847557,0.008448,0.450538,model.19,cv1,True,True,False,False,False,conv-only,True,QAT
"PWN(/model.19/cv1/act/Sigmoid, /model.19/cv1/act/Mul)",0.0063528,0.006336,0.337697,model.19,cv1,False,False,True,True,False,standalone-SiLU,False,QAT
__myl_CastMulMinMaxRounCastResh_myl152_0,0.00585154,0.005824,0.311051,NMS/foreign,,False,True,False,False,False,pure Q/DQ (standalone),False,QAT
"model.19.m.0.cv2.conv.weight + /model.19/m.0/cv2/conv/weight_quantizer/QuantizeLinear + /model.19/m.0/cv2/conv/Conv + PWN(/model.19/m.0/cv2/act/Sigmoid, /model.19/m.0/cv2/act/Mul)",0.00794359,0.007904,0.422259,model.19,m.0/cv2,True,True,True,True,False,"conv+SiLU (fused, Q folded in)",True,QAT
model.19.m.0.cv1.conv.weight + /model.19/m.0/cv1/conv/weight_quantizer/QuantizeLinear + /model.19/m.0/cv1/conv/Conv,0.00770525,0.00768,0.40959,model.19,m.0/cv1,True,True,False,False,False,conv-only,True,QAT
"PWN(/model.19/m.0/cv1/act/Sigmoid, /model.19/m.0/cv1/act/Mul)",0.00611914,0.00608,0.325277,model.19,m.0/cv1,False,False,True,True,False,standalone-SiLU,False,QAT
__myl_CastMulMinMaxRounCast_myl156_0,0.0058389,0.005824,0.31038,NMS/foreign,,False,True,False,False,False,pure Q/DQ (standalone),False,QAT
"model.19.m.0.m.0.cv1.conv.weight + /model.19/m.0/m/m.0/cv1/conv/weight_quantizer/QuantizeLinear + /model.19/m.0/m/m.0/cv1/conv/Conv + PWN(/model.19/m.0/m/m.0/cv1/act/Sigmoid, /model.19/m.0/m/m.0/cv1/act/Mul)",0.00926004,0.009216,0.492238,model.19,m.0/m/m.0/cv1,True,True,True,True,False,"conv+SiLU (fused, Q folded in)",True,QAT
model.19.m.0.m.0.cv2.conv.weight + /model.19/m.0/m/m.0/cv2/conv/weight_quantizer/QuantizeLinear + /model.19/m.0/m/m.0/cv2/conv/Conv,0.00898576,0.00896,0.477658,model.19,m.0/m/m.0/cv2,True,True,False,False,False,conv-only,True,QAT
"PWN(PWN(/model.19/m.0/m/m.0/cv2/act/Sigmoid, /model.19/m.0/m/m.0/cv2/act/Mul), /model.19/m.0/m/m.0/Add)",0.00611158,0.00608,0.324874,model.19,m.0/m/m.0/cv2,False,False,True,True,False,standalone-SiLU,False,QAT
__myl_CastMulMinMaxRounCast_myl160_0,0.00581786,0.005792,0.309261,NMS/foreign,,False,True,False,False,False,pure Q/DQ (standalone),False,QAT
"model.19.m.0.m.1.cv1.conv.weight + /model.19/m.0/m/m.1/cv1/conv/weight_quantizer/QuantizeLinear + /model.19/m.0/m/m.1/cv1/conv/Conv + PWN(/model.19/m.0/m/m.1/cv1/act/Sigmoid, /model.19/m.0/m/m.1/cv1/act/Mul)",0.00897393,0.00896,0.477029,model.19,m.0/m/m.1/cv1,True,True,True,True,False,"conv+SiLU (fused, Q folded in)",True,QAT
model.19.m.0.m.1.cv2.conv.weight + /model.19/m.0/m/m.1/cv2/conv/weight_quantizer/QuantizeLinear + /model.19/m.0/m/m.1/cv2/conv/Conv,0.00870717,0.008704,0.462849,model.19,m.0/m/m.1/cv2,True,True,False,False,False,conv-only,True,QAT
"PWN(PWN(/model.19/m.0/m/m.1/cv2/act/Sigmoid, /model.19/m.0/m/m.1/cv2/act/Mul), /model.19/m.0/m/m.1/Add)",0.00660536,0.006592,0.351123,model.19,m.0/m/m.1/cv2,False,False,True,True,False,standalone-SiLU,False,QAT
"model.19.m.0.cv3.conv.weight + /model.19/m.0/cv3/conv/weight_quantizer/QuantizeLinear + /model.19/m.0/cv3/conv/Conv + PWN(/model.19/m.0/cv3/act/Sigmoid, /model.19/m.0/cv3/act/Mul)",0.00794224,0.007904,0.422187,model.19,m.0/cv3,True,True,True,True,False,"conv+SiLU (fused, Q folded in)",True,QAT
__myl_CastMulMinMaxRounCast_myl165_0,0.00611965,0.00608,0.325304,NMS/foreign,,False,True,False,False,False,pure Q/DQ (standalone),False,QAT
__myl_CastMulMinMaxRounCastResh_myl166_0,0.00582742,0.005824,0.309769,NMS/foreign,,False,True,False,False,False,pure Q/DQ (standalone),False,QAT
/model.19/Concat_/model.19/Slice_output_0_clone_0 copy,0.00611131,0.00608,0.32486,model.19,,False,False,False,False,False,other,False,QAT
"model.19.cv2.conv.weight + /model.19/cv2/conv/weight_quantizer/QuantizeLinear + /model.19/cv2/conv/Conv + PWN(/model.19/cv2/act/Sigmoid, /model.19/cv2/act/Mul)",0.00849705,0.008448,0.451679,model.19,cv2,True,True,True,True,False,"conv+SiLU (fused, Q folded in)",True,QAT
"model.20.conv.weight + /model.20/conv/weight_quantizer/QuantizeLinear + /model.20/conv/Conv + PWN(/model.20/act/Sigmoid, /model.20/act/Mul)",0.0107818,0.010752,0.573132,model.20,conv,True,True,True,True,False,"conv+SiLU (fused, Q folded in)",True,QAT
/model.11/Resize_output_0 copy,0.00609952,0.00608,0.324234,model.11,,False,False,False,False,False,other,False,QAT
model.22.cv1.conv.weight + /model.22/cv1/conv/weight_quantizer/QuantizeLinear + /model.22/cv1/conv/Conv,0.00845237,0.008448,0.449304,model.22,cv1,True,True,False,False,False,conv-only,True,QAT
"PWN(/model.22/cv1/act/Sigmoid, /model.22/cv1/act/Mul)",0.00637835,0.006336,0.339055,model.22,cv1,False,False,True,True,False,standalone-SiLU,False,QAT
__myl_CastMulMinMaxRounCastResh_myl173_0,0.00583969,0.005824,0.310422,NMS/foreign,,False,True,False,False,False,pure Q/DQ (standalone),False,QAT
"model.22.m.0.0.cv1.conv.weight + /model.22/m.0/m.0.0/cv1/conv/weight_quantizer/QuantizeLinear + /model.22/m.0/m.0.0/cv1/conv/Conv + PWN(/model.22/m.0/m.0.0/cv1/act/Sigmoid, /model.22/m.0/m.0.0/cv1/act/Mul)",0.0105559,0.010496,0.56112,model.22,m.0/m.0.0/cv1,True,True,True,True,False,"conv+SiLU (fused, Q folded in)",True,QAT
model.22.m.0.0.cv2.conv.weight + /model.22/m.0/m.0.0/cv2/conv/weight_quantizer/QuantizeLinear + /model.22/m.0/m.0.0/cv2/conv/Conv,0.00923334,0.009216,0.490819,model.22,m.0/m.0.0/cv2,True,True,False,False,False,conv-only,True,QAT
"PWN(PWN(/model.22/m.0/m.0.0/cv2/act/Sigmoid, /model.22/m.0/m.0.0/cv2/act/Mul), /model.22/m.0/m.0.0/Add)",0.00641339,0.006336,0.340918,model.22,m.0/m.0.0/cv2,False,False,True,True,False,standalone-SiLU,False,QAT
__myl_CastMulMinMaxRounCast_myl177_0,0.00583696,0.005792,0.310277,NMS/foreign,,False,True,False,False,False,pure Q/DQ (standalone),False,QAT
model.22.m.0.1.attn.qkv.conv.weight + /model.22/m.0/m.0.1/attn/qkv/conv/weight_quantizer/QuantizeLinear + /model.22/m.0/m.0.1/attn/qkv/conv/Conv,0.0104857,0.010464,0.55739,model.22,m.0/m.0.1/attn/qkv,True,True,False,False,False,attention,True,QAT
/model.22/m.0/m.0.1/attn/Reshape,0.0,0.0,0.0,model.22,,False,False,False,False,False,attention,False,QAT
__myl_Move_myl180_0,0.00583854,0.005792,0.31036,NMS/foreign,,False,False,False,False,False,other,False,QAT
__myl_MulMinMaxRounCast_myl181_0,0.0056195,0.005568,0.298717,NMS/foreign,,False,True,False,False,False,pure Q/DQ (standalone),False,QAT
/model.22/m.0/m.0.1/attn/Reshape_2,0.0,0.0,0.0,model.22,,False,False,False,False,False,attention,False,QAT
Reformatting CopyNode for Input Tensor 0 to model.22.m.0.1.attn.pe.conv.weight + /model.22/m.0/m.0.1/attn/pe/conv/weight_quantizer/QuantizeLinear + /model.22/m.0/m.0.1/attn/pe/conv/Conv,0.00706201,0.007072,0.375397,model.22,m.0/m.0.1/attn/pe,True,True,False,False,True,reformat,True,QAT
model.22.m.0.1.attn.pe.conv.weight + /model.22/m.0/m.0.1/attn/pe/conv/weight_quantizer/QuantizeLinear + /model.22/m.0/m.0.1/attn/pe/conv/Conv,0.0092865,0.00928,0.493645,model.22,m.0/m.0.1/attn/pe,True,True,False,False,False,attention,True,QAT
__myl_MoveSlicSlicTran_myl185_0,0.00599978,0.006048,0.318931,NMS/foreign,,False,False,False,False,False,other,False,QAT
/model.22/m.0/m.0.1/attn/MatMul_myl185_1,0.0105226,0.010496,0.559353,model.22,,False,False,False,False,False,attention,False,QAT
__myl_MaxrSubExpSum_myl185_2,0.00712924,0.007104,0.37897,NMS/foreign,,False,False,False,False,False,attention,False,QAT
__myl_DivMulTran_myl185_3,0.0076736,0.007648,0.407907,NMS/foreign,,False,False,False,False,False,other,False,QAT
/model.22/m.0/m.0.1/attn/MatMul_1_myl185_4,0.0112612,0.011264,0.598613,model.22,,False,False,False,False,False,attention,False,QAT
__myl_MulAddAdd_myl185_5,0.005923,0.005824,0.31485,NMS/foreign,,False,False,False,False,False,other,False,QAT
"model.23.one2one_cv3.0.0.0.conv.weight + /model.23/one2one_cv3.0/one2one_cv3.0.0/one2one_cv3.0.0.0/conv/weight_quantizer/QuantizeLinear + /model.23/one2one_cv3.0/one2one_cv3.0.0/one2one_cv3.0.0.0/conv/Conv + PWN(/model.23/one2one_cv3.0/one2one_cv3.0.0/one2one_cv3.0.0.0/act/Sigmoid, /model.23/one2one_cv3.0/one2one_cv3.0.0/one2one_cv3.0.0.0/act/Mul)",0.00844762,0.008384,0.449052,model.23,one2one_cv3.0/one2one_cv3.0.0/one2one_cv3.0.0.0,True,True,True,True,False,"conv+SiLU (fused, Q folded in)",True,QAT
"model.23.one2one_cv2.0.0.conv.weight + /model.23/one2one_cv2.0/one2one_cv2.0.0/conv/weight_quantizer/QuantizeLinear + /model.23/one2one_cv2.0/one2one_cv2.0.0/conv/Conv + PWN(/model.23/one2one_cv2.0/one2one_cv2.0.0/act/Sigmoid, /model.23/one2one_cv2.0/one2one_cv2.0.0/act/Mul)",0.0107999,0.010752,0.574093,model.23,one2one_cv2.0/one2one_cv2.0.0,True,True,True,True,False,"conv+SiLU (fused, Q folded in)",True,QAT
model.23.one2one_cv2.0.1.conv.weight + /model.23/one2one_cv2.0/one2one_cv2.0.1/conv/weight_quantizer/QuantizeLinear + /model.23/one2one_cv2.0/one2one_cv2.0.1/conv/Conv,0.0100191,0.009984,0.532589,model.23,one2one_cv2.0/one2one_cv2.0.1,True,True,False,False,False,conv-only,True,QAT
"model.23.one2one_cv3.0.0.1.conv.weight + /model.23/one2one_cv3.0/one2one_cv3.0.0/one2one_cv3.0.0.1/conv/weight_quantizer/QuantizeLinear + /model.23/one2one_cv3.0/one2one_cv3.0.0/one2one_cv3.0.0.1/conv/Conv + PWN(/model.23/one2one_cv3.0/one2one_cv3.0.0/one2one_cv3.0.0.1/act/Sigmoid, /model.23/one2one_cv3.0/one2one_cv3.0.0/one2one_cv3.0.0.1/act/Mul)",0.00874769,0.008704,0.465003,model.23,one2one_cv3.0/one2one_cv3.0.0/one2one_cv3.0.0.1,True,True,True,True,False,"conv+SiLU (fused, Q folded in)",True,QAT
"PWN(/model.23/one2one_cv2.0/one2one_cv2.0.1/act/Sigmoid, /model.23/one2one_cv2.0/one2one_cv2.0.1/act/Mul)",0.00711683,0.007104,0.378311,model.23,one2one_cv2.0/one2one_cv2.0.1,False,False,True,True,False,standalone-SiLU,False,QAT
"model.23.one2one_cv3.0.1.0.conv.weight + /model.23/one2one_cv3.0/one2one_cv3.0.1/one2one_cv3.0.1.0/conv/weight_quantizer/QuantizeLinear + /model.23/one2one_cv3.0/one2one_cv3.0.1/one2one_cv3.0.1.0/conv/Conv + PWN(/model.23/one2one_cv3.0/one2one_cv3.0.1/one2one_cv3.0.1.0/act/Sigmoid, /model.23/one2one_cv3.0/one2one_cv3.0.1/one2one_cv3.0.1.0/act/Mul)",0.00868519,0.008672,0.46168,model.23,one2one_cv3.0/one2one_cv3.0.1/one2one_cv3.0.1.0,True,True,True,True,False,"conv+SiLU (fused, Q folded in)",True,QAT
model.23.one2one_cv2.0.2.weight + /model.23/one2one_cv2.0/one2one_cv2.0.2/weight_quantizer/QuantizeLinear + /model.23/one2one_cv2.0/one2one_cv2.0.2/Conv,0.0082126,0.008192,0.436559,model.23,one2one_cv2.0/one2one_cv2.0.2,True,True,False,False,False,conv-only,True,QAT
"model.23.one2one_cv3.0.1.1.conv.weight + /model.23/one2one_cv3.0/one2one_cv3.0.1/one2one_cv3.0.1.1/conv/weight_quantizer/QuantizeLinear + /model.23/one2one_cv3.0/one2one_cv3.0.1/one2one_cv3.0.1.1/conv/Conv + PWN(/model.23/one2one_cv3.0/one2one_cv3.0.1/one2one_cv3.0.1.1/act/Sigmoid, /model.23/one2one_cv3.0/one2one_cv3.0.1/one2one_cv3.0.1.1/act/Mul)",0.00877077,0.008704,0.46623,model.23,one2one_cv3.0/one2one_cv3.0.1/one2one_cv3.0.1.1,True,True,True,True,False,"conv+SiLU (fused, Q folded in)",True,QAT
model.23.one2one_cv3.0.2.weight + /model.23/one2one_cv3.0/one2one_cv3.0.2/weight_quantizer/QuantizeLinear + /model.23/one2one_cv3.0/one2one_cv3.0.2/Conv,0.00794127,0.007936,0.422136,model.23,one2one_cv3.0/one2one_cv3.0.2,True,True,False,False,False,conv-only,True,QAT
"model.23.one2one_cv3.1.0.0.conv.weight + /model.23/one2one_cv3.1/one2one_cv3.1.0/one2one_cv3.1.0.0/conv/weight_quantizer/QuantizeLinear + /model.23/one2one_cv3.1/one2one_cv3.1.0/one2one_cv3.1.0.0/conv/Conv + PWN(/model.23/one2one_cv3.1/one2one_cv3.1.0/one2one_cv3.1.0.0/act/Sigmoid, /model.23/one2one_cv3.1/one2one_cv3.1.0/one2one_cv3.1.0.0/act/Mul)",0.00814657,0.008128,0.433049,model.23,one2one_cv3.1/one2one_cv3.1.0/one2one_cv3.1.0.0,True,True,True,True,False,"conv+SiLU (fused, Q folded in)",True,QAT
"model.23.one2one_cv2.1.0.conv.weight + /model.23/one2one_cv2.1/one2one_cv2.1.0/conv/weight_quantizer/QuantizeLinear + /model.23/one2one_cv2.1/one2one_cv2.1.0/conv/Conv + PWN(/model.23/one2one_cv2.1/one2one_cv2.1.0/act/Sigmoid, /model.23/one2one_cv2.1/one2one_cv2.1.0/act/Mul)",0.0107501,0.010752,0.571447,model.23,one2one_cv2.1/one2one_cv2.1.0,True,True,True,True,False,"conv+SiLU (fused, Q folded in)",True,QAT
model.23.one2one_cv2.1.1.conv.weight + /model.23/one2one_cv2.1/one2one_cv2.1.1/conv/weight_quantizer/QuantizeLinear + /model.23/one2one_cv2.1/one2one_cv2.1.1/conv/Conv,0.00892352,0.008928,0.474349,model.23,one2one_cv2.1/one2one_cv2.1.1,True,True,False,False,False,conv-only,True,QAT
"model.23.one2one_cv3.1.0.1.conv.weight + /model.23/one2one_cv3.1/one2one_cv3.1.0/one2one_cv3.1.0.1/conv/weight_quantizer/QuantizeLinear + /model.23/one2one_cv3.1/one2one_cv3.1.0/one2one_cv3.1.0.1/conv/Conv + PWN(/model.23/one2one_cv3.1/one2one_cv3.1.0/one2one_cv3.1.0.1/act/Sigmoid, /model.23/one2one_cv3.1/one2one_cv3.1.0/one2one_cv3.1.0.1/act/Mul)",0.00819695,0.008192,0.435727,model.23,one2one_cv3.1/one2one_cv3.1.0/one2one_cv3.1.0.1,True,True,True,True,False,"conv+SiLU (fused, Q folded in)",True,QAT
"PWN(/model.23/one2one_cv2.1/one2one_cv2.1.1/act/Sigmoid, /model.23/one2one_cv2.1/one2one_cv2.1.1/act/Mul)",0.00677636,0.006816,0.360212,model.23,one2one_cv2.1/one2one_cv2.1.1,False,False,True,True,False,standalone-SiLU,False,QAT
"model.23.one2one_cv3.1.1.0.conv.weight + /model.23/one2one_cv3.1/one2one_cv3.1.1/one2one_cv3.1.1.0/conv/weight_quantizer/QuantizeLinear + /model.23/one2one_cv3.1/one2one_cv3.1.1/one2one_cv3.1.1.0/conv/Conv + PWN(/model.23/one2one_cv3.1/one2one_cv3.1.1/one2one_cv3.1.1.0/act/Sigmoid, /model.23/one2one_cv3.1/one2one_cv3.1.1/one2one_cv3.1.1.0/act/Mul)",0.00844126,0.008384,0.448714,model.23,one2one_cv3.1/one2one_cv3.1.1/one2one_cv3.1.1.0,True,True,True,True,False,"conv+SiLU (fused, Q folded in)",True,QAT
model.23.one2one_cv2.1.2.weight + /model.23/one2one_cv2.1/one2one_cv2.1.2/weight_quantizer/QuantizeLinear + /model.23/one2one_cv2.1/one2one_cv2.1.2/Conv,0.00769419,0.00768,0.409002,model.23,one2one_cv2.1/one2one_cv2.1.2,True,True,False,False,False,conv-only,True,QAT
"model.23.one2one_cv3.1.1.1.conv.weight + /model.23/one2one_cv3.1/one2one_cv3.1.1/one2one_cv3.1.1.1/conv/weight_quantizer/QuantizeLinear + /model.23/one2one_cv3.1/one2one_cv3.1.1/one2one_cv3.1.1.1/conv/Conv + PWN(/model.23/one2one_cv3.1/one2one_cv3.1.1/one2one_cv3.1.1.1/act/Sigmoid, /model.23/one2one_cv3.1/one2one_cv3.1.1/one2one_cv3.1.1.1/act/Mul)",0.00793793,0.007936,0.421958,model.23,one2one_cv3.1/one2one_cv3.1.1/one2one_cv3.1.1.1,True,True,True,True,False,"conv+SiLU (fused, Q folded in)",True,QAT
model.23.one2one_cv3.1.2.weight + /model.23/one2one_cv3.1/one2one_cv3.1.2/weight_quantizer/QuantizeLinear + /model.23/one2one_cv3.1/one2one_cv3.1.2/Conv,0.00766958,0.007648,0.407694,model.23,one2one_cv3.1/one2one_cv3.1.2,True,True,False,False,False,conv-only,True,QAT
__myl_MulMinMaxRounCastReshTran_myl204_0,0.00608561,0.00608,0.323494,NMS/foreign,,False,True,False,False,False,pure Q/DQ (standalone),False,QAT
model.22.m.0.1.attn.proj.conv.weight + /model.22/m.0/m.0.1/attn/proj/conv/weight_quantizer/QuantizeLinear + /model.22/m.0/m.0.1/attn/proj/conv/Conv + /model.22/m.0/m.0.1/Add,0.00796046,0.007904,0.423156,model.22,m.0/m.0.1/attn/proj,True,True,False,False,False,attention,True,QAT
__myl_CastMulMinMaxRounCast_myl206_0,0.00583086,0.005824,0.309952,NMS/foreign,,False,True,False,False,False,pure Q/DQ (standalone),False,QAT
"model.22.m.0.1.ffn.0.conv.weight + /model.22/m.0/m.0.1/ffn/ffn.0/conv/weight_quantizer/QuantizeLinear + /model.22/m.0/m.0.1/ffn/ffn.0/conv/Conv + PWN(/model.22/m.0/m.0.1/ffn/ffn.0/act/Sigmoid, /model.22/m.0/m.0.1/ffn/ffn.0/act/Mul)",0.00822098,0.008192,0.437004,model.22,m.0/m.0.1/ffn/ffn.0,True,True,True,True,False,"conv+SiLU (fused, Q folded in)",True,QAT
__myl_CastMulMinMaxRounCastReshTranResh_myl208_0,0.00608825,0.00608,0.323635,NMS/foreign,,False,True,False,False,False,pure Q/DQ (standalone),False,QAT
model.22.m.0.1.ffn.1.conv.weight + /model.22/m.0/m.0.1/ffn/ffn.1/conv/weight_quantizer/QuantizeLinear + /model.22/m.0/m.0.1/ffn/ffn.1/conv/Conv + /model.22/m.0/m.0.1/Add_1,0.00820735,0.008192,0.43628,model.22,m.0/m.0.1/ffn/ffn.1,True,True,False,False,False,conv-only,True,QAT
__myl_CastMulMinMaxRounCastResh_myl210_0,0.00585134,0.005824,0.311041,NMS/foreign,,False,True,False,False,False,pure Q/DQ (standalone),False,QAT
__myl_CastMulMinMaxRounCastResh_myl211_0,0.00556186,0.005536,0.295653,NMS/foreign,,False,True,False,False,False,pure Q/DQ (standalone),False,QAT
__myl_ReshTranResh_myl212_0,0.00584688,0.005824,0.310804,NMS/foreign,,False,False,False,False,False,other,False,QAT
"model.22.cv2.conv.weight + /model.22/cv2/conv/weight_quantizer/QuantizeLinear + /model.22/cv2/conv/Conv + PWN(/model.22/cv2/act/Sigmoid, /model.22/cv2/act/Mul)",0.00876268,0.008704,0.4658,model.22,cv2,True,True,True,True,False,"conv+SiLU (fused, Q folded in)",True,QAT
"model.23.one2one_cv3.2.0.0.conv.weight + /model.23/one2one_cv3.2/one2one_cv3.2.0/one2one_cv3.2.0.0/conv/weight_quantizer/QuantizeLinear + /model.23/one2one_cv3.2/one2one_cv3.2.0/one2one_cv3.2.0.0/conv/Conv + PWN(/model.23/one2one_cv3.2/one2one_cv3.2.0/one2one_cv3.2.0.0/act/Sigmoid, /model.23/one2one_cv3.2/one2one_cv3.2.0/one2one_cv3.2.0.0/act/Mul)",0.00841563,0.008384,0.447351,model.23,one2one_cv3.2/one2one_cv3.2.0/one2one_cv3.2.0.0,True,True,True,True,False,"conv+SiLU (fused, Q folded in)",True,QAT
"model.23.one2one_cv2.2.0.conv.weight + /model.23/one2one_cv2.2/one2one_cv2.2.0/conv/weight_quantizer/QuantizeLinear + /model.23/one2one_cv2.2/one2one_cv2.2.0/conv/Conv + PWN(/model.23/one2one_cv2.2/one2one_cv2.2.0/act/Sigmoid, /model.23/one2one_cv2.2/one2one_cv2.2.0/act/Mul)",0.0129983,0.013024,0.690955,model.23,one2one_cv2.2/one2one_cv2.2.0,True,True,True,True,False,"conv+SiLU (fused, Q folded in)",True,QAT
model.23.one2one_cv2.2.1.conv.weight + /model.23/one2one_cv2.2/one2one_cv2.2.1/conv/weight_quantizer/QuantizeLinear + /model.23/one2one_cv2.2/one2one_cv2.2.1/conv/Conv,0.00896301,0.008928,0.476449,model.23,one2one_cv2.2/one2one_cv2.2.1,True,True,False,False,False,conv-only,True,QAT
"model.23.one2one_cv3.2.0.1.conv.weight + /model.23/one2one_cv3.2/one2one_cv3.2.0/one2one_cv3.2.0.1/conv/weight_quantizer/QuantizeLinear + /model.23/one2one_cv3.2/one2one_cv3.2.0/one2one_cv3.2.0.1/conv/Conv + PWN(/model.23/one2one_cv3.2/one2one_cv3.2.0/one2one_cv3.2.0.1/act/Sigmoid, /model.23/one2one_cv3.2/one2one_cv3.2.0/one2one_cv3.2.0.1/act/Mul)",0.00819003,0.008192,0.435359,model.23,one2one_cv3.2/one2one_cv3.2.0/one2one_cv3.2.0.1,True,True,True,True,False,"conv+SiLU (fused, Q folded in)",True,QAT
"PWN(/model.23/one2one_cv2.2/one2one_cv2.2.1/act/Sigmoid, /model.23/one2one_cv2.2/one2one_cv2.2.1/act/Mul)",0.00658722,0.006592,0.350158,model.23,one2one_cv2.2/one2one_cv2.2.1,False,False,True,True,False,standalone-SiLU,False,QAT
"model.23.one2one_cv3.2.1.0.conv.weight + /model.23/one2one_cv3.2/one2one_cv3.2.1/one2one_cv3.2.1.0/conv/weight_quantizer/QuantizeLinear + /model.23/one2one_cv3.2/one2one_cv3.2.1/one2one_cv3.2.1.0/conv/Conv + PWN(/model.23/one2one_cv3.2/one2one_cv3.2.1/one2one_cv3.2.1.0/act/Sigmoid, /model.23/one2one_cv3.2/one2one_cv3.2.1/one2one_cv3.2.1.0/act/Mul)",0.00791247,0.007904,0.420605,model.23,one2one_cv3.2/one2one_cv3.2.1/one2one_cv3.2.1.0,True,True,True,True,False,"conv+SiLU (fused, Q folded in)",True,QAT
model.23.one2one_cv2.2.2.weight + /model.23/one2one_cv2.2/one2one_cv2.2.2/weight_quantizer/QuantizeLinear + /model.23/one2one_cv2.2/one2one_cv2.2.2/Conv,0.00769587,0.00768,0.409091,model.23,one2one_cv2.2/one2one_cv2.2.2,True,True,False,False,False,conv-only,True,QAT
"model.23.one2one_cv3.2.1.1.conv.weight + /model.23/one2one_cv3.2/one2one_cv3.2.1/one2one_cv3.2.1.1/conv/weight_quantizer/QuantizeLinear + /model.23/one2one_cv3.2/one2one_cv3.2.1/one2one_cv3.2.1.1/conv/Conv + PWN(/model.23/one2one_cv3.2/one2one_cv3.2.1/one2one_cv3.2.1.1/act/Sigmoid, /model.23/one2one_cv3.2/one2one_cv3.2.1/one2one_cv3.2.1.1/act/Mul)",0.00780108,0.00784,0.414683,model.23,one2one_cv3.2/one2one_cv3.2.1/one2one_cv3.2.1.1,True,True,True,True,False,"conv+SiLU (fused, Q folded in)",True,QAT
model.23.one2one_cv3.2.2.weight + /model.23/one2one_cv3.2/one2one_cv3.2.2/weight_quantizer/QuantizeLinear + /model.23/one2one_cv3.2/one2one_cv3.2.2/Conv,0.00767516,0.007648,0.40799,model.23,one2one_cv3.2/one2one_cv3.2.2,True,True,False,False,False,conv-only,True,QAT
Reformatting CopyNode for Input Tensor 0 to {ForeignNode[/model.23/Gather_1_output_0[Constant] + ONNXTRT_Broadcast_1066.../model.23/Concat_6]},0.00691145,0.00688,0.367393,model.23,,False,False,False,False,True,reformat,False,QAT
Reformatting CopyNode for Input Tensor 1 to {ForeignNode[/model.23/Gather_1_output_0[Constant] + ONNXTRT_Broadcast_1066.../model.23/Concat_6]},0.00637731,0.006336,0.339,model.23,,False,False,False,False,True,reformat,False,QAT
Reformatting CopyNode for Input Tensor 2 to {ForeignNode[/model.23/Gather_1_output_0[Constant] + ONNXTRT_Broadcast_1066.../model.23/Concat_6]},0.00637685,0.006336,0.338976,model.23,,False,False,False,False,True,reformat,False,QAT
Reformatting CopyNode for Input Tensor 3 to {ForeignNode[/model.23/Gather_1_output_0[Constant] + ONNXTRT_Broadcast_1066.../model.23/Concat_6]},0.00662372,0.006624,0.352098,model.23,,False,False,False,False,True,reformat,False,QAT
Reformatting CopyNode for Input Tensor 4 to {ForeignNode[/model.23/Gather_1_output_0[Constant] + ONNXTRT_Broadcast_1066.../model.23/Concat_6]},0.00635913,0.006336,0.338033,model.23,,False,False,False,False,True,reformat,False,QAT
Reformatting CopyNode for Input Tensor 5 to {ForeignNode[/model.23/Gather_1_output_0[Constant] + ONNXTRT_Broadcast_1066.../model.23/Concat_6]},0.00611682,0.006112,0.325153,model.23,,False,False,False,False,True,reformat,False,QAT
__myl_ReshReshReshConcSlicSlic_myl229_0,0.00596276,0.005824,0.316964,NMS/foreign,,False,False,False,False,False,other,False,QAT
__myl_ReshReshReshConcSigmSubAddConcMulConcTranSlicMaxrReshSlic_myl229_1,0.00665103,0.006592,0.35355,NMS/foreign,,False,False,False,False,False,other,False,QAT
__myl_Topk_myl229_2,0.0347955,0.034752,1.84963,NMS/foreign,,False,False,False,False,False,NMS/TopK,False,QAT
__myl_CastReshCastGathResh_myl229_3,0.00585324,0.005824,0.311142,NMS/foreign,,False,False,False,False,False,other,False,QAT
__myl_Topk_myl229_4,0.00992492,0.009888,0.527581,NMS/foreign,,False,False,False,False,False,NMS/TopK,False,QAT
