name,averageMs,medianMs,percentage,layer,subpath,has_conv,has_Q,has_SiLU,has_PWN,reformat,role,q_folded_into_conv,engine
/model.22/m.0/m.0.1/Add_1_output_0 copy,0.00607306,0.006112,0.377658,model.22,,False,False,False,False,False,other,False,PTQ
"/model.22/cv2/conv/Conv + PWN(PWN(/model.22/cv2/act/Sigmoid), PWN(/model.22/cv2/act/Mul))",0.00877574,0.008768,0.545726,model.22,cv2,True,False,True,True,False,"conv+SiLU (fused, Q folded in)",False,PTQ
"/model.23/one2one_cv2.2/one2one_cv2.2.0/conv/Conv + PWN(PWN(/model.23/one2one_cv2.2/one2one_cv2.2.0/act/Sigmoid), PWN(/model.23/one2one_cv2.2/one2one_cv2.2.0/act/Mul))",0.0129605,0.012864,0.805956,model.23,one2one_cv2.2/one2one_cv2.2.0,True,False,True,True,False,"conv+SiLU (fused, Q folded in)",False,PTQ
/model.23/one2one_cv2.2/one2one_cv2.2.1/conv/Conv,0.0111088,0.01104,0.690812,model.23,one2one_cv2.2/one2one_cv2.2.1,True,False,False,False,False,conv-only,False,PTQ
"PWN(PWN(/model.23/one2one_cv2.2/one2one_cv2.2.1/act/Sigmoid), PWN(/model.23/one2one_cv2.2/one2one_cv2.2.1/act/Mul))",0.00636382,0.006368,0.395739,model.23,one2one_cv2.2/one2one_cv2.2.1,False,False,True,True,False,standalone-SiLU,False,PTQ
/model.23/one2one_cv2.2/one2one_cv2.2.2/Conv,0.00719968,0.007168,0.447718,model.23,one2one_cv2.2/one2one_cv2.2.2,True,False,False,False,False,conv-only,False,PTQ
"/model.23/one2one_cv3.2/one2one_cv3.2.0/one2one_cv3.2.0.0/conv/Conv + PWN(PWN(/model.23/one2one_cv3.2/one2one_cv3.2.0/one2one_cv3.2.0.0/act/Sigmoid), PWN(/model.23/one2one_cv3.2/one2one_cv3.2.0/one2one_cv3.2.0.0/act/Mul))",0.00845565,0.008416,0.525821,model.23,one2one_cv3.2/one2one_cv3.2.0/one2one_cv3.2.0.0,True,False,True,True,False,"conv+SiLU (fused, Q folded in)",False,PTQ
"/model.23/one2one_cv3.2/one2one_cv3.2.0/one2one_cv3.2.0.1/conv/Conv + PWN(PWN(/model.23/one2one_cv3.2/one2one_cv3.2.0/one2one_cv3.2.0.1/act/Sigmoid), PWN(/model.23/one2one_cv3.2/one2one_cv3.2.0/one2one_cv3.2.0.1/act/Mul))",0.00823992,0.008224,0.512406,model.23,one2one_cv3.2/one2one_cv3.2.0/one2one_cv3.2.0.1,True,False,True,True,False,"conv+SiLU (fused, Q folded in)",False,PTQ
"/model.23/one2one_cv3.2/one2one_cv3.2.1/one2one_cv3.2.1.0/conv/Conv + PWN(PWN(/model.23/one2one_cv3.2/one2one_cv3.2.1/one2one_cv3.2.1.0/act/Sigmoid), PWN(/model.23/one2one_cv3.2/one2one_cv3.2.1/one2one_cv3.2.1.0/act/Mul))",0.00792139,0.007904,0.492598,model.23,one2one_cv3.2/one2one_cv3.2.1/one2one_cv3.2.1.0,True,False,True,True,False,"conv+SiLU (fused, Q folded in)",False,PTQ
"/model.23/one2one_cv3.2/one2one_cv3.2.1/one2one_cv3.2.1.1/conv/Conv + PWN(PWN(/model.23/one2one_cv3.2/one2one_cv3.2.1/one2one_cv3.2.1.1/act/Sigmoid), PWN(/model.23/one2one_cv3.2/one2one_cv3.2.1/one2one_cv3.2.1.1/act/Mul))",0.00797185,0.007968,0.495736,model.23,one2one_cv3.2/one2one_cv3.2.1/one2one_cv3.2.1.1,True,False,True,True,False,"conv+SiLU (fused, Q folded in)",False,PTQ
/model.23/one2one_cv3.2/one2one_cv3.2.2/Conv,0.00979249,0.009728,0.608953,model.23,one2one_cv3.2/one2one_cv3.2.2,True,False,False,False,False,conv-only,False,PTQ
"/model.23/one2one_cv2.1/one2one_cv2.1.0/conv/Conv + PWN(PWN(/model.23/one2one_cv2.1/one2one_cv2.1.0/act/Sigmoid), PWN(/model.23/one2one_cv2.1/one2one_cv2.1.0/act/Mul))",0.0107955,0.010784,0.671327,model.23,one2one_cv2.1/one2one_cv2.1.0,True,False,True,True,False,"conv+SiLU (fused, Q folded in)",False,PTQ
/model.23/one2one_cv2.1/one2one_cv2.1.1/conv/Conv,0.0108102,0.010784,0.672242,model.23,one2one_cv2.1/one2one_cv2.1.1,True,False,False,False,False,conv-only,False,PTQ
"PWN(PWN(/model.23/one2one_cv2.1/one2one_cv2.1.1/act/Sigmoid), PWN(/model.23/one2one_cv2.1/one2one_cv2.1.1/act/Mul))",0.00611852,0.006112,0.380485,model.23,one2one_cv2.1/one2one_cv2.1.1,False,False,True,True,False,standalone-SiLU,False,PTQ
/model.23/one2one_cv2.1/one2one_cv2.1.2/Conv,0.00750251,0.007456,0.46655,model.23,one2one_cv2.1/one2one_cv2.1.2,True,False,False,False,False,conv-only,False,PTQ
"/model.23/one2one_cv3.1/one2one_cv3.1.0/one2one_cv3.1.0.0/conv/Conv + PWN(PWN(/model.23/one2one_cv3.1/one2one_cv3.1.0/one2one_cv3.1.0.0/act/Sigmoid), PWN(/model.23/one2one_cv3.1/one2one_cv3.1.0/one2one_cv3.1.0.0/act/Mul))",0.00818763,0.00816,0.509154,model.23,one2one_cv3.1/one2one_cv3.1.0/one2one_cv3.1.0.0,True,False,True,True,False,"conv+SiLU (fused, Q folded in)",False,PTQ
"/model.23/one2one_cv3.1/one2one_cv3.1.0/one2one_cv3.1.0.1/conv/Conv + PWN(PWN(/model.23/one2one_cv3.1/one2one_cv3.1.0/one2one_cv3.1.0.1/act/Sigmoid), PWN(/model.23/one2one_cv3.1/one2one_cv3.1.0/one2one_cv3.1.0.1/act/Mul))",0.00824824,0.008256,0.512923,model.23,one2one_cv3.1/one2one_cv3.1.0/one2one_cv3.1.0.1,True,False,True,True,False,"conv+SiLU (fused, Q folded in)",False,PTQ
"/model.23/one2one_cv3.1/one2one_cv3.1.1/one2one_cv3.1.1.0/conv/Conv + PWN(PWN(/model.23/one2one_cv3.1/one2one_cv3.1.1/one2one_cv3.1.1.0/act/Sigmoid), PWN(/model.23/one2one_cv3.1/one2one_cv3.1.1/one2one_cv3.1.1.0/act/Mul))",0.00843901,0.008416,0.524786,model.23,one2one_cv3.1/one2one_cv3.1.1/one2one_cv3.1.1.0,True,False,True,True,False,"conv+SiLU (fused, Q folded in)",False,PTQ
"/model.23/one2one_cv3.1/one2one_cv3.1.1/one2one_cv3.1.1.1/conv/Conv + PWN(PWN(/model.23/one2one_cv3.1/one2one_cv3.1.1/one2one_cv3.1.1.1/act/Sigmoid), PWN(/model.23/one2one_cv3.1/one2one_cv3.1.1/one2one_cv3.1.1.1/act/Mul))",0.00790364,0.007936,0.491494,model.23,one2one_cv3.1/one2one_cv3.1.1/one2one_cv3.1.1.1,True,False,True,True,False,"conv+SiLU (fused, Q folded in)",False,PTQ
/model.23/one2one_cv3.1/one2one_cv3.1.2/Conv,0.00924491,0.009248,0.574902,model.23,one2one_cv3.1/one2one_cv3.1.2,True,False,False,False,False,conv-only,False,PTQ
"/model.23/one2one_cv2.0/one2one_cv2.0.0/conv/Conv + PWN(PWN(/model.23/one2one_cv2.0/one2one_cv2.0.0/act/Sigmoid), PWN(/model.23/one2one_cv2.0/one2one_cv2.0.0/act/Mul))",0.0108428,0.010816,0.674268,model.23,one2one_cv2.0/one2one_cv2.0.0,True,False,True,True,False,"conv+SiLU (fused, Q folded in)",False,PTQ
/model.23/one2one_cv2.0/one2one_cv2.0.1/conv/Conv,0.0100448,0.010048,0.624644,model.23,one2one_cv2.0/one2one_cv2.0.1,True,False,False,False,False,conv-only,False,PTQ
"PWN(PWN(/model.23/one2one_cv2.0/one2one_cv2.0.1/act/Sigmoid), PWN(/model.23/one2one_cv2.0/one2one_cv2.0.1/act/Mul))",0.00716193,0.007136,0.44537,model.23,one2one_cv2.0/one2one_cv2.0.1,False,False,True,True,False,standalone-SiLU,False,PTQ
/model.23/one2one_cv2.0/one2one_cv2.0.2/Conv,0.00957632,0.009504,0.595511,model.23,one2one_cv2.0/one2one_cv2.0.2,True,False,False,False,False,conv-only,False,PTQ
"/model.23/one2one_cv3.0/one2one_cv3.0.0/one2one_cv3.0.0.0/conv/Conv + PWN(PWN(/model.23/one2one_cv3.0/one2one_cv3.0.0/one2one_cv3.0.0.0/act/Sigmoid), PWN(/model.23/one2one_cv3.0/one2one_cv3.0.0/one2one_cv3.0.0.0/act/Mul))",0.00848434,0.008448,0.527606,model.23,one2one_cv3.0/one2one_cv3.0.0/one2one_cv3.0.0.0,True,False,True,True,False,"conv+SiLU (fused, Q folded in)",False,PTQ
"/model.23/one2one_cv3.0/one2one_cv3.0.0/one2one_cv3.0.0.1/conv/Conv + PWN(PWN(/model.23/one2one_cv3.0/one2one_cv3.0.0/one2one_cv3.0.0.1/act/Sigmoid), PWN(/model.23/one2one_cv3.0/one2one_cv3.0.0/one2one_cv3.0.0.1/act/Mul))",0.00905875,0.009024,0.563325,model.23,one2one_cv3.0/one2one_cv3.0.0/one2one_cv3.0.0.1,True,False,True,True,False,"conv+SiLU (fused, Q folded in)",False,PTQ
"/model.23/one2one_cv3.0/one2one_cv3.0.1/one2one_cv3.0.1.0/conv/Conv + PWN(PWN(/model.23/one2one_cv3.0/one2one_cv3.0.1/one2one_cv3.0.1.0/act/Sigmoid), PWN(/model.23/one2one_cv3.0/one2one_cv3.0.1/one2one_cv3.0.1.0/act/Mul))",0.00871934,0.008704,0.542219,model.23,one2one_cv3.0/one2one_cv3.0.1/one2one_cv3.0.1.0,True,False,True,True,False,"conv+SiLU (fused, Q folded in)",False,PTQ
"/model.23/one2one_cv3.0/one2one_cv3.0.1/one2one_cv3.0.1.1/conv/Conv + PWN(PWN(/model.23/one2one_cv3.0/one2one_cv3.0.1/one2one_cv3.0.1.1/act/Sigmoid), PWN(/model.23/one2one_cv3.0/one2one_cv3.0.1/one2one_cv3.0.1.1/act/Mul))",0.00909281,0.009024,0.565444,model.23,one2one_cv3.0/one2one_cv3.0.1/one2one_cv3.0.1.1,True,False,True,True,False,"conv+SiLU (fused, Q folded in)",False,PTQ
/model.23/one2one_cv3.0/one2one_cv3.0.2/Conv,0.00953262,0.009504,0.592793,model.23,one2one_cv3.0/one2one_cv3.0.2,True,False,False,False,False,conv-only,False,PTQ
__myl_ReshReshReshConcSlicSlic_myl183_0,0.00588306,0.005856,0.365842,NMS/foreign,,False,False,False,False,False,other,False,PTQ
__myl_SubAddConcMulReshReshReshConcSigmConcTranSlicMaxrReshSlic_myl183_1,0.00669326,0.006624,0.416225,NMS/foreign,,False,False,False,False,False,other,False,PTQ
__myl_Topk_myl183_2,0.058153,0.05808,3.61629,NMS/foreign,,False,False,False,False,False,NMS/TopK,False,PTQ
__myl_CastReshCastGathResh_myl183_3,0.00595311,0.005856,0.370199,NMS/foreign,,False,False,False,False,False,other,False,PTQ
__myl_Topk_myl183_4,0.0130991,0.013024,0.81458,NMS/foreign,,False,False,False,False,False,NMS/TopK,False,PTQ
__myl_CastReshReshGathCastReplDivNeqXorLtAndAddSeleSubReshCastGathConc_myl183_5,0.00613161,0.006112,0.381299,NMS/foreign,,False,False,False,False,False,other,False,PTQ
