name,averageMs,medianMs,percentage,layer,subpath,has_conv,has_Q,has_SiLU,has_PWN,reformat,role,q_folded_into_conv,engine
"/model.8/cv2/conv/Conv + PWN(PWN(/model.8/cv2/act/Sigmoid), PWN(/model.8/cv2/act/Mul))",0.00853446,0.008512,0.530722,model.8,cv2,True,False,True,True,False,"conv+SiLU (fused, Q folded in)",False,PTQ
/model.9/cv1/conv/Conv,0.00831985,0.008256,0.517376,model.9,cv1,True,False,False,False,False,conv-only,False,PTQ
/model.9/m/MaxPool,0.00947403,0.009472,0.58915,model.9,,False,False,False,False,False,other,False,PTQ
/model.9/m_1/MaxPool,0.00930774,0.00928,0.578809,model.9,,False,False,False,False,False,other,False,PTQ
/model.9/m_2/MaxPool,0.00948536,0.009472,0.589854,model.9,,False,False,False,False,False,other,False,PTQ
/model.9/cv1/conv/Conv_output_0 copy,0.00593492,0.00592,0.369067,model.9,cv1,True,False,False,False,False,conv-only,False,PTQ
/model.9/m/MaxPool_output_0 copy,0.00593872,0.00592,0.369304,model.9,,False,False,False,False,False,other,False,PTQ
/model.9/m_1/MaxPool_output_0 copy,0.00597335,0.00592,0.371457,model.9,,False,False,False,False,False,other,False,PTQ
/model.9/cv2/conv/Conv,0.00916586,0.00912,0.569986,model.9,cv2,True,False,False,False,False,conv-only,False,PTQ
"PWN(PWN(PWN(/model.9/cv2/act/Sigmoid), PWN(/model.9/cv2/act/Mul)), PWN(/model.9/Add))",0.00722034,0.0072,0.449003,model.9,cv2,False,False,True,True,False,standalone-SiLU,False,PTQ
"/model.10/cv1/conv/Conv + PWN(PWN(/model.10/cv1/act/Sigmoid), PWN(/model.10/cv1/act/Mul))",0.00856542,0.008544,0.532647,model.10,cv1,True,False,True,True,False,"conv+SiLU (fused, Q folded in)",False,PTQ
/model.10/Split_13,0.00613747,0.006048,0.381664,model.10,,False,False,False,False,False,other,False,PTQ
/model.10/m/m.0/attn/qkv/conv/Conv,0.0104349,0.0104,0.648904,model.10,m/m.0/attn/qkv,True,False,False,False,False,attention,False,PTQ
/model.10/m/m.0/attn/Reshape,0.0,0.0,0.0,model.10,,False,False,False,False,False,attention,False,PTQ
Reformatting CopyNode for Input Tensor 0 to /model.10/m/m.0/attn/Constant_1_output_0 + ONNXTRT_Broadcast + /model.10/m/m.0/attn/Mul,0.00594838,0.00592,0.369904,model.10,,False,False,False,False,True,reformat,False,PTQ
/model.10/m/m.0/attn/Constant_1_output_0 + ONNXTRT_Broadcast + /model.10/m/m.0/attn/Mul,0.00648147,0.006432,0.403055,model.10,,False,False,False,False,False,attention,False,PTQ
/model.10/m/m.0/attn/Split_16,0.00595822,0.005888,0.370516,model.10,m/m.0/attn,False,False,False,False,False,attention,False,PTQ
/model.10/m/m.0/attn/MatMul,0.0112536,0.011232,0.699812,model.10,,False,False,False,False,False,attention,False,PTQ
/model.10/m/m.0/attn/Softmax,0.00922741,0.009184,0.573813,model.10,,False,False,False,False,False,attention,False,PTQ
