epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,515.963,1.38141,1.22199,0.00525,0.76426,0.73875,0.80456,0.60441,1.03408,1.07071,0.00695,0.000666153,0.000666153,0.000666153
2,1066.63,1.32432,1.08585,0.00483,0.80389,0.72977,0.8199,0.63055,0.99691,0.99955,0.00664,0.0011129,0.0011129,0.0011129
3,1573.77,1.30273,1.05236,0.00466,0.79095,0.72329,0.81202,0.61695,1.00229,0.98792,0.00654,0.00133966,0.00133966,0.00133966
4,2076.75,1.27194,1.00073,0.00462,0.78342,0.75284,0.82594,0.63286,0.98795,0.93809,0.00668,0.00101,0.00101,0.00101
5,2480.54,1.25925,0.97958,0.00448,0.81051,0.76106,0.84235,0.64148,0.99333,0.90308,0.00664,0.00068,0.00068,0.00068
6,3152.78,1.24678,0.95411,0.0044,0.80465,0.74398,0.82652,0.63467,0.9771,0.94276,0.00649,0.00035,0.00035,0.00035
