epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,431.474,1.46829,1.23532,0.00575,0.70115,0.64726,0.71771,0.493,1.18599,1.26511,0.00829,0.000666153,0.000666153,0.000666153
2,808.799,1.49447,1.24549,0.00588,0.70563,0.65062,0.72321,0.50062,1.16362,1.23975,0.0079,0.0011129,0.0011129,0.0011129
3,1083.92,1.49891,1.2481,0.00587,0.69892,0.63402,0.70873,0.48628,1.18028,1.27041,0.00823,0.00133966,0.00133966,0.00133966
4,1522.71,1.48156,1.22765,0.00589,0.67091,0.63663,0.69256,0.47142,1.1619,1.27345,0.00769,0.00101,0.00101,0.00101
5,1824.06,1.47504,1.21637,0.00578,0.69241,0.65296,0.72137,0.49701,1.15029,1.22283,0.00773,0.00068,0.00068,0.00068
