epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,25896.5,0.82702,0.37025,0.00261,0.94773,0.89556,0.94778,0.77302,0.80693,0.48105,0.00603,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
33,26444.5,0.81422,0.36467,0.00253,0.94406,0.89277,0.94438,0.76875,0.81978,0.48973,0.00618,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
34,26995.9,0.81099,0.36278,0.00255,0.95142,0.88682,0.94423,0.77203,0.80552,0.48559,0.00607,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
35,27544,0.79501,0.3533,0.00249,0.95063,0.88471,0.94105,0.76909,0.79911,0.50563,0.00591,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
36,28106,0.7879,0.3488,0.00243,0.94703,0.8623,0.9285,0.76017,0.79362,0.56721,0.00599,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
37,28922.5,0.78327,0.34955,0.00243,0.93856,0.87233,0.93174,0.76697,0.78728,0.53998,0.00592,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
38,29745.9,0.77632,0.34131,0.00243,0.93675,0.86612,0.9293,0.76,0.80485,0.54789,0.00616,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
39,30564.8,0.76741,0.33737,0.00236,0.94095,0.86437,0.9345,0.76739,0.7818,0.53795,0.00593,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
40,31394,0.75829,0.33981,0.00235,0.94224,0.86754,0.93562,0.76776,0.79242,0.53391,0.00601,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
41,32210.4,0.6974,0.29241,0.00241,0.94435,0.87326,0.93785,0.76989,0.78436,0.52278,0.00583,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
42,33017.1,0.68388,0.28548,0.00236,0.95605,0.88662,0.9458,0.78241,0.77424,0.4717,0.0057,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
43,33841,0.67246,0.28273,0.0023,0.95201,0.88421,0.94372,0.77934,0.77673,0.47694,0.00571,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
44,34641.1,0.66633,0.27664,0.00229,0.94583,0.88883,0.94338,0.77961,0.78209,0.47804,0.00568,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
45,35441.6,0.65569,0.27308,0.00223,0.94903,0.88772,0.9435,0.77835,0.7814,0.47752,0.00567,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
46,36261.5,0.64697,0.26788,0.00219,0.94939,0.88123,0.94112,0.77617,0.78096,0.48691,0.00572,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
47,37063.1,0.64291,0.26797,0.00217,0.94608,0.88593,0.94158,0.77612,0.78136,0.48428,0.00574,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
48,37865.3,0.62935,0.26191,0.0021,0.95327,0.88105,0.94179,0.77444,0.77909,0.48658,0.00575,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
49,38658.8,0.62688,0.26145,0.0021,0.95272,0.87635,0.94076,0.77574,0.77366,0.49596,0.00573,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
50,39472.9,0.62006,0.25447,0.00207,0.94745,0.87835,0.93914,0.77183,0.78141,0.4993,0.00579,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298
