epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,533.375,1.40602,1.224,0.00543,0.7376,0.72646,0.77377,0.5766,1.05409,1.12132,0.00694,0.000666153,0.000666153,0.000666153
2,1053.84,1.36773,1.16489,0.00511,0.77654,0.71971,0.79149,0.59648,1.03431,1.1213,0.00709,0.0011129,0.0011129,0.0011129
3,1491.98,1.35282,1.13844,0.00496,0.77592,0.72522,0.79705,0.60236,1.02466,1.09329,0.0068,0.00133966,0.00133966,0.00133966
4,1936.07,1.32634,1.09653,0.00495,0.77607,0.72212,0.79258,0.60189,1.01718,1.10421,0.00668,0.00101,0.00101,0.00101
5,2429.55,1.32168,1.07837,0.00486,0.79445,0.7319,0.8118,0.61549,1.00676,1.04138,0.00663,0.00068,0.00068,0.00068
6,2968.28,1.31717,1.06958,0.00482,0.78294,0.73747,0.80817,0.61472,1.0088,1.04266,0.00663,0.00035,0.00035,0.00035
