epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,670.247,1.45944,1.31297,0.00575,0.74413,0.68134,0.75719,0.53889,1.15387,1.23665,0.00804,0.000666153,0.000666153,0.000666153
2,1314.09,1.43889,1.29715,0.00553,0.71303,0.66439,0.73502,0.5237,1.15502,1.31983,0.00819,0.0011129,0.0011129,0.0011129
3,1918.79,1.42928,1.28339,0.00539,0.71433,0.67369,0.7406,0.54099,1.1092,1.27993,0.0077,0.00133966,0.00133966,0.00133966
4,2559.45,1.39835,1.26286,0.00535,0.75871,0.67905,0.7642,0.55604,1.10392,1.22748,0.00768,0.00101,0.00101,0.00101
5,2923.96,1.38464,1.27051,0.0052,0.74253,0.70187,0.76617,0.55589,1.10264,1.22585,0.00763,0.00068,0.00068,0.00068
6,3195.11,1.37383,1.26197,0.00512,0.7609,0.69987,0.77664,0.57166,1.09251,1.21258,0.00764,0.00035,0.00035,0.00035
