epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,664.369,1.45426,1.28184,0.00573,0.68053,0.65551,0.7048,0.49359,1.1499,1.30419,0.00806,0.000666153,0.000666153,0.000666153
2,1270.04,1.46087,1.29212,0.0057,0.68458,0.66186,0.70939,0.49853,1.15959,1.3027,0.00826,0.0011129,0.0011129,0.0011129
3,1908.1,1.46392,1.29247,0.00565,0.68115,0.66219,0.70761,0.49624,1.15718,1.29491,0.00823,0.00133966,0.00133966,0.00133966
4,2534.18,1.44921,1.28221,0.00568,0.68265,0.64979,0.70221,0.49209,1.15252,1.32795,0.00819,0.00101,0.00101,0.00101
5,3110.21,1.45481,1.27853,0.00564,0.6898,0.65385,0.71089,0.50127,1.14893,1.29302,0.00807,0.00068,0.00068,0.00068
6,3683.14,1.45375,1.28039,0.00562,0.69022,0.66045,0.71295,0.50385,1.14877,1.28142,0.00807,0.00035,0.00035,0.00035
