epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,705.091,1.41226,1.23584,0.00546,0.77291,0.72329,0.80281,0.60033,1.05816,1.10929,0.00708,0.000666153,0.000666153,0.000666153
2,1113.56,1.37886,1.16777,0.00518,0.75975,0.73011,0.79711,0.59992,1.04036,1.0961,0.00686,0.0011129,0.0011129,0.0011129
3,1457.23,1.36437,1.14568,0.00503,0.7828,0.71376,0.79975,0.60742,1.04137,1.07467,0.00683,0.00133966,0.00133966,0.00133966
4,1716.89,1.33975,1.11625,0.00503,0.78396,0.73763,0.81069,0.61356,1.02352,1.05155,0.00679,0.00101,0.00101,0.00101
5,1929.68,1.3346,1.09525,0.00494,0.79872,0.73967,0.81634,0.61944,1.02999,1.03529,0.00678,0.00068,0.00068,0.00068
