epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,700.918,1.3721,1.2241,0.0052,0.78611,0.72363,0.80431,0.61142,1.01432,1.085,0.00666,0.000666153,0.000666153,0.000666153
2,1385.28,1.28308,1.04627,0.00463,0.77775,0.73218,0.80682,0.61836,0.98941,1.02992,0.00654,0.0011129,0.0011129,0.0011129
3,2019.74,1.25633,1.01895,0.00442,0.813,0.733,0.82982,0.6365,0.99184,0.9785,0.0064,0.00133966,0.00133966,0.00133966
4,2715.18,1.21376,0.97123,0.00433,0.7823,0.75719,0.82435,0.63092,0.98273,0.9905,0.00673,0.00101,0.00101,0.00101
5,3337.65,1.20013,0.94493,0.00421,0.80528,0.76118,0.84329,0.65366,0.95075,0.92347,0.00629,0.00068,0.00068,0.00068
6,4010.46,1.18342,0.92759,0.00411,0.80091,0.76559,0.84653,0.65948,0.94329,0.91261,0.00622,0.00035,0.00035,0.00035
