epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,232.413,1.40795,1.25398,0.00542,0.74963,0.69746,0.77,0.57718,1.07896,1.15853,0.00716,0.000666153,0.000666153,0.000666153
2,458.124,1.37036,1.1915,0.00516,0.76901,0.71358,0.7953,0.60666,1.03634,1.09497,0.00696,0.0011129,0.0011129,0.0011129
3,683.647,1.35328,1.16754,0.005,0.76753,0.68777,0.78047,0.58307,1.05796,1.10102,0.00699,0.00133966,0.00133966,0.00133966
4,900.754,1.32345,1.1285,0.00498,0.75206,0.70561,0.78571,0.5942,1.0293,1.1344,0.00692,0.00101,0.00101,0.00101
5,1095.27,1.3143,1.11027,0.00487,0.74631,0.69608,0.78045,0.5921,1.01338,1.09913,0.00662,0.00068,0.00068,0.00068
