epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,241.324,1.38855,1.23704,0.0053,0.76967,0.72278,0.79758,0.6078,1.04511,1.10259,0.00688,0.000666153,0.000666153,0.000666153
2,463.533,1.31928,1.11996,0.00485,0.7874,0.71922,0.79826,0.61096,1.00863,1.04354,0.00664,0.0011129,0.0011129,0.0011129
3,688.982,1.29584,1.06209,0.00465,0.80346,0.74061,0.82142,0.6238,1.0137,1.00913,0.00696,0.00133966,0.00133966,0.00133966
4,939.263,1.26066,1.01324,0.0046,0.80064,0.74375,0.82802,0.62539,1.02901,0.97113,0.00716,0.00101,0.00101,0.00101
5,1833.83,1.24649,0.98027,0.00447,0.82002,0.77617,0.85266,0.64542,1.00535,0.901,0.00691,0.00068,0.00068,0.00068
6,2800.62,1.23566,0.96502,0.0044,0.81604,0.78439,0.8522,0.64554,1.00724,0.90799,0.00692,0.00035,0.00035,0.00035
