epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,641.242,1.4467,1.30473,0.00566,0.70464,0.65849,0.72032,0.52136,1.09867,1.28704,0.00738,0.000666153,0.000666153,0.000666153
2,1294.41,1.43765,1.3029,0.00553,0.71277,0.66143,0.72623,0.52975,1.09444,1.2953,0.00725,0.0011129,0.0011129,0.0011129
3,1931.28,1.43666,1.30715,0.00547,0.72451,0.66715,0.74226,0.54252,1.09554,1.24883,0.00728,0.00133966,0.00133966,0.00133966
4,2549.68,1.41629,1.29434,0.00548,0.72375,0.65546,0.73404,0.53891,1.08588,1.27048,0.00715,0.00101,0.00101,0.00101
5,3157.27,1.4166,1.28423,0.00542,0.72141,0.65964,0.73453,0.54141,1.08213,1.28526,0.00713,0.00068,0.00068,0.00068
6,3803.21,1.41457,1.28519,0.0054,0.72505,0.66501,0.73766,0.548,1.06927,1.26958,0.00703,0.00035,0.00035,0.00035
