epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,247.892,1.38538,1.21243,0.00529,0.81051,0.739,0.82546,0.62002,1.03913,1.00475,0.0069,0.000666153,0.000666153,0.000666153
2,467.894,1.33486,1.10735,0.00491,0.80357,0.74056,0.82287,0.62721,1.00602,1.00198,0.00675,0.0011129,0.0011129,0.0011129
3,683.087,1.31579,1.06962,0.00475,0.81831,0.74616,0.82985,0.62981,1.0098,0.95431,0.00655,0.00133966,0.00133966,0.00133966
4,902.334,1.28424,1.0181,0.00469,0.83072,0.74401,0.84461,0.64427,1.00295,0.91132,0.00669,0.00101,0.00101,0.00101
5,1168.01,1.2713,0.99313,0.00456,0.80882,0.76249,0.84684,0.63517,1.01222,0.91757,0.00671,0.00068,0.00068,0.00068
6,1682.47,1.25632,0.96878,0.00447,0.82132,0.7817,0.86281,0.66222,0.97849,0.86949,0.00653,0.00035,0.00035,0.00035
